StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_1,Q3_2,Q4,Q5,Q6_1,Q6_2,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15_1,Q16,Q17,Q19,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q34,Q35
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,[Faculty Session] Setting the Context (Deirdra Aikens) - Importance of Topic,[Faculty Session] Setting the Context (Deirdra Aikens) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Team Session] Focus Areas and Data Overviews (Team Time) - Importance of Topic,[Team Session] Focus Areas and Data Overviews (Team Time) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Faculty Session] Step 4: Digging Into Student Data (William Marroquin) - Importance of Topic,[Faculty Session] Step 4: Digging Into Student Data (William Marroquin) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Faculty Session] Step 5: Examining Instruction (Matt Presser) - Value of Session,[Faculty Session] Step 5: Examining Instruction (Matt Presser) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Team Session] Planning and Preparation (Team Time) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",We have a big-picture plan to move forward our School Improvement Plan.,"As you think ahead to the virtual coaching sessions over the next couple of months, what do you imagine you might want to get support on?","Which ACE habit has been a strength for you personally over these two days? 
*Remember, the ACE habits of mind are A (Shared Commitment to Action, Assessment, and Adjustment), C (Intentional Collaboration), and E (Relentless Focus on Evidence).",Which ACE habit do you anticipate needing support on as a team? Why?,Please provide any other overall feedback on this institute.,"At this point, how would you rate the overall quality of the Data Wise Workshop?","At this point, to what extent did you find this program professionally useful?","At this point, how much do you intend to modify your professional practice, based on your experience in this program?","How satisfied were you with the diversity of the course's learning community, inclusive of racial, ethnic, professional, personal, regional, institution type, and other perspectives and backgrounds?",How might we improve in supporting a diverse learning community?
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID71_3""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID88""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87_TEXT""}"
2019-12-19 18:52:01,2019-12-19 18:57:05,IP Address,206.82.23.190,100,303,True,2019-12-19 18:57:05,R_3ht3poulBT5SfcM,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,"Active and Informative ",No Change,Moderately Satisfied,Moderately Satisfied,"Active and informative, good discussion and practice ",No Change,Moderately Satisfied,Moderately Satisfied,"Active and informative ",No Change,Moderately Satisfied,Moderately Satisfied,"Active and informative ",No Change,Moderately Satisfied,"Active and informative, good quality discussion and practice ",No Change,Somewhat Agree,Somewhat Agree,"Question narrowing, connection between MTSS and CSI, meeting structure and schedule ","Assessment ",Adjustment and Action,"Deeply informative and engaging program ",Very Good,Quite A Bit,Quite A Bit,Completely Satisfied,"Support for diversity is sufficient "
2019-12-19 19:21:18,2019-12-19 19:23:00,IP Address,206.82.23.190,100,102,True,2019-12-19 19:23:01,R_2cq1fit3G17HgWZ,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Moderately Satisfied,Completely Satisfied,,,Moderately Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,Completely Satisfied,,,Moderately Satisfied,,,Strongly Agree,Somewhat Agree,"How to continue to narrow our discussion. ",,,,Very Good,Quite A Bit,Quite A Bit,Moderately Satisfied,
2019-12-19 19:33:40,2019-12-19 19:42:36,IP Address,206.82.23.190,100,536,True,2019-12-19 19:42:37,R_2ruQxrQLvdeW4uy,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,The gallery walk was helpful.  To see other people's perspectives was good (it also shows the flaws in the system because intelligent people saw completely different things).,,Moderately Satisfied,Moderately Satisfied,,I felt unable to answer some of the questions asked because we do not know what we are going to use as a data source because we just got the go-ahead to focus on our actual needs as opposed to what was prescribed for us in the previous plan.,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Neutral,,We were a little lost simply because of our loss of team members due to the great purge of administration and staff.,Neutral,Somewhat Agree,Picking data sources that reflect school culture and climate rather than simple test scores.,,Assessment and adjustment.,,Neither Good Nor Bad,Moderately,Moderately,,
2019-12-19 19:41:27,2019-12-19 19:51:51,IP Address,206.82.23.190,100,624,True,2019-12-19 19:51:51,R_1o4J84CLLViXplY,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,Liked the connection. Appreciated the concrete examples.,It was fine.,Moderately Satisfied,Moderately Satisfied,"The rolling agenda is very helpful. ",We weren't totally prepared for this session due to miscommunication prior to conference.,Moderately Satisfied,Moderately Satisfied,Good examples.,It was fine.,Moderately Satisfied,Completely Satisfied,"Liked the practice with the video, and discussion with other participants.",It was fine.,Moderately Satisfied,Having this time was appreciated.,Coffee & water throughout the day :),Somewhat Disagree,Somewhat Agree,Getting us back on track - we've lost a lot of time due to personnel loss and turnover.,Intentional Collaboration,Shared Commitment to Action,"I'll reiterate that from a teachers' perspective, we distrust initiatives that demand a lot of time and effort of us, but are controlled by our district. We did not select this institute, nor can we control how long this relationship will last. I am optimistic that Data Wise strives to make themselves invaluable to our schools and district.",Very Good,Quite A Bit,A Little Bit,Neutral,"I was looking for representation from our state - it would have been helpful to have someone facilitating discussion who had experience with our standardized tests (PSSAs, Keystones, etc.) and other measurements of student ""progress"" or ways to monitor success."
2019-12-19 19:49:52,2019-12-19 19:52:02,IP Address,206.82.23.190,100,130,True,2019-12-19 19:52:03,R_29dexjperoGlAfY,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Strongly Agree,Somewhat Agree,"Helping narrow the focus of the data to make improvement efforts actionable. ",,,,Very Good,Quite A Bit,Moderately,Moderately Satisfied,
2019-12-19 19:20:38,2019-12-19 19:59:05,IP Address,173.188.156.102,100,2307,True,2019-12-19 19:59:06,R_279UzsoU7QNr4lt,,,,,40.009002685546875,-76.36309814453125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,,,Somewhat Agree,Somewhat Agree,,intentional collaboration,focus on evidence,,Neither Good Nor Bad,Moderately,A Little Bit,Moderately Satisfied,
2019-12-19 19:57:17,2019-12-19 20:01:19,IP Address,206.82.23.190,100,241,True,2019-12-19 20:01:20,R_2uvqnl29hCd8WcF,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,Moderately Satisfied,,More conversation about video observation,Moderately Satisfied,,The presence of the coach sometimes stifled productive struggle,Somewhat Agree,Somewhat Agree,,Adjustment,Focus on Evidence,,Very Good,Quite A Bit,Quite A Bit,Neutral,
2019-12-19 20:03:20,2019-12-19 20:04:33,IP Address,173.188.156.102,100,72,True,2019-12-19 20:04:34,R_6gmQQqX6iUZzhIZ,,,,,40.009002685546875,-76.36309814453125,anonymous,EN,Completely Satisfied,,,,Completely Satisfied,,,,Completely Satisfied,,,,Completely Satisfied,,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,,,,,Very Good,Quite A Bit,Quite A Bit,Completely Satisfied,
2019-12-19 20:02:01,2019-12-19 20:04:41,IP Address,173.188.156.102,100,159,True,2019-12-19 20:04:41,R_2Blc8BpMoGiCwgu,,,,,40.009002685546875,-76.36309814453125,anonymous,EN,Neutral,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,We actually completed goal revisions and data charts,,Neutral,Moderately Satisfied,,,Neutral,Moderately Satisfied,,,Moderately Satisfied,,most of team left by then,Somewhat Disagree,Somewhat Agree,priority questions,C,,,Neither Good Nor Bad,A Little Bit,A Little Bit,Neutral,
2019-12-19 20:06:02,2019-12-19 20:07:12,IP Address,206.82.23.190,100,70,True,2019-12-19 20:07:12,R_1g8bglvIqWx1vjH,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Somewhat Agree,Strongly Agree,,shared commitment to action,not sure,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:07:52,2019-12-19 20:09:37,IP Address,173.188.156.102,100,105,True,2019-12-19 20:09:38,R_12F6Ctz35LB7K4z,,,,,40.009002685546875,-76.36309814453125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,"Collaboration ",Nothing,Moderately Satisfied,Moderately Satisfied,Partner time,,,,,Somewhat Agree,Strongly Agree,,,,,Very Good,Quite A Bit,Quite A Bit,Moderately Satisfied,
2019-12-19 20:07:02,2019-12-19 20:10:07,IP Address,173.188.156.102,100,185,True,2019-12-19 20:10:08,R_1k1Uq6GcZojIN5Z,,,,,40.009002685546875,-76.36309814453125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,,,,,Very Good,A Great Deal,Quite A Bit,Completely Satisfied,
2019-12-19 20:02:30,2019-12-19 20:10:08,IP Address,206.82.23.190,100,458,True,2019-12-19 20:10:09,R_10NoiaO3Vc8pMPR,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,"Loved the time to collaborate uninterrupted ",,Strongly Agree,Somewhat Agree,NA,C,A,Great experience,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:05:24,2019-12-19 20:10:23,IP Address,206.82.23.190,100,299,True,2019-12-19 20:10:24,R_1K9XQ8o7y4xK7YN,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,"It is always valuable to have time to meet with our core team. ",,Completely Satisfied,Completely Satisfied,It was interesting so to see how a large majority of groups created a very similar priority statement.,,Completely Satisfied,Completely Satisfied,"I like the soul mate partner activity to partner up. ",,Completely Satisfied,"We made a good plan for what we will do when we return in the new year to share this information with our teachers. ",,Strongly Agree,Strongly Agree,,,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:09:21,2019-12-19 20:10:35,IP Address,74.217.93.204,100,73,True,2019-12-19 20:10:35,R_3h5eoZKDCEsye8B,,,,,39.048095703125,-77.47280120849609375,anonymous,EN,Completely Satisfied,Completely Satisfied,"Mix of information-providing, collaborative time, modeling",,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,,,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:08:23,2019-12-19 20:11:26,IP Address,206.82.23.190,100,183,True,2019-12-19 20:11:27,R_3NCyiUi3RBO3AfL,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,"The agenda and roles kept us moving. ",,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,"Working through the details of the plan.  ",,,,Excellent,A Great Deal,,Completely Satisfied,
2019-12-19 17:39:31,2019-12-19 20:13:53,IP Address,172.58.204.20,100,9262,True,2019-12-19 20:13:53,R_SUiuR1XYd7WTsrv,,,,,39.9933929443359375,-75.1425018310546875,anonymous,EN,Neutral,Neutral,,,Completely Satisfied,Completely Satisfied,,,Moderately Dissatisfied,Moderately Dissatisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,,,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:10:28,2019-12-19 20:16:35,IP Address,206.82.23.190,100,367,True,2019-12-19 20:16:35,R_3HYOGtX6gNTjNZe,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,The information was loaded but presented well. So many great ideas!,Have more of our school improvement team here,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,Having better data (school wide vs just our own current students),Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Lots of support from our some of our upper district personnel even though our building team couldnâ€™t be here.,,Strongly Agree,Somewhat Agree,Connecting the dots of all the missing stakeholders and streamlining the flow of information,Shared commitment to action,"Relentless focus on the evidence and intentional collaboration ",,Excellent,A Great Deal,Quite A Bit,Completely Satisfied,
2019-12-19 19:57:36,2019-12-19 20:20:51,IP Address,206.82.23.190,100,1395,True,2019-12-19 20:20:52,R_1o5ZXOU2PtJQpmC,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Neutral,Neutral,,,Moderately Satisfied,Neutral,team time is needed for our school (even though not all team members were present),Would have been nice to be alerted ahead of time that bringing data was needed for today. Not all members of our team have same access to data,Neutral,Neutral,clear and organized,Difficult to understand speaker (volume and diction),Moderately Dissatisfied,Neutral,Ideal in theory,Accommodate for lack of subs/classroom coverage for the process of observation/planning/meeting to succeed,Moderately Satisfied,"Came up with ""next steps"" when returning from winter break",more than the 30-45 minute allotment,Neutral,Strongly Disagree,still unclear on the plan and final goals. Other than test scores need to go up.,none,"all - our team is incomplete and having to ""start over"" in a lot of ways",,Neither Good Nor Bad,A Little Bit,Not At All,Neutral,
2019-12-19 20:19:53,2019-12-19 20:24:52,IP Address,206.82.23.190,100,298,True,2019-12-19 20:24:52,R_2s1tdctgmSoSVqZ,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,Presenter is genuine and brings real life examples regarding the Data Wise Proccess to life!,,Completely Satisfied,Completely Satisfied,Extemely engaging and hands on tasks.,Nothing,Completely Satisfied,Completely Satisfied,Explicit explanations.  Very personable and engaging presenter!,,Completely Satisfied,Completely Satisfied,Cooperative tasks and guidance throughout tasks! Excellent presentation!,,,,,Strongly Agree,Strongly Agree,One of the best presentations I have ever attended!,,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:25:01,2019-12-19 20:35:26,IP Address,206.82.23.190,100,625,True,2019-12-19 20:35:26,R_rkCK1ywN3p2orD3,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,Movement.,,Completely Satisfied,Completely Satisfied,Opportunities for real-life examples.,,Completely Satisfied,Completely Satisfied,Being able to review data with purpose and the lens of creating priorities.,,Completely Satisfied,Completely Satisfied,Becoming more comfortable with the prospect of examining instruction and hopefully removing the threat-perception surrounding observations.,,Completely Satisfied,"Access to team members, having the chance to do work along side experts.",,Strongly Agree,Strongly Agree,"I still need help determining the ","Relentless focus on evidence- I feel like this ACE habit gives life and purpose to the work. We can see where there are needs and we have resources to suggest practices to address those needs. By making the evidence visual and present and part of the daily conversation, it can drive the every day decisions, behaviors and ultimately the outcomes.",Intentional Collaboration. Its so hard.,This has been incredibly useful. The process is more clear and I have a better understanding of how to prepare and use the data.,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
